timestamp, rtt_avg
1616159701,5.27
1616159702,3.14
1616159703,4.93
1616159704,4.68
1616159705,7.77
1616159707,4.88
1616159708,5.94
1616159709,5.72
1616159710,6.15
1616159711,5.33
1616159712,6.24
1616159713,5.45
1616159714,5.75
1616159715,5.46
1616159716,4.12
1616159717,2.8
1616159718,5.64
1616159719,5.75
1616159720,7.83
1616159721,9.3
1616159722,8.84
1616159723,8.79
1616159724,3.91
1616159725,8.51
1616159726,4.26
1616159727,2.9
1616159728,4.89
1616159729,5.47
1616159730,6.29
1616159731,9.5
1616159732,4.52
1616159733,8.1
1616159734,8.88
1616159735,7.57
1616159736,3.55
1616159737,13.37
1616159738,10.16
1616159740,10.2
1616159741,10.6
1616159742,3.38
1616159743,4.25
1616159744,4.28
1616159745,3.92
1616159746,3.49
1616159747,3.44
1616159748,3.75
1616159749,3.51
1616159750,3.93
1616159751,4.12
1616159752,3.84
1616159753,4.0
1616159754,6.81
1616159755,9.95
1616159756,5.54
1616159757,10.24
1616159758,11.23
1616159759,3.89
1616159760,6.62
1616159761,6.15
1616159762,10.77
1616159763,3.48
1616159764,4.32
1616159765,8.9
1616159766,8.17
1616159767,5.64
1616159768,6.7
1616159769,5.98
1616159770,5.62
1616159771,6.73
1616159772,5.57
1616159773,10.72
1616159775,13.26
1616159776,10.7
1616159781,1005.37
1616159782,11.67
1616159783,10.47
1616159784,13.42
1616159785,10.7
1616159786,11.43
1616159787,7.96
1616159788,9.7
1616159789,15.87
1616159792,510.78
1616159793,17.89
1616159794,19.9
1616159797,513.25
1616159798,11.26
1616159801,511.41
1616159802,12.93
1616159804,11.8
1616159805,11.16
1616159806,17.2
1616159807,14.07
1616159810,511.73
1616159811,14.83
1616159812,11.9
1616159813,14.38
1616159814,14.27
1616159815,10.05
1616159816,12.87
1616159819,510.07
1616159820,14.44
1616159821,16.19
1616159822,20.69
1616159823,12.97
1616159825,14.06
1616159828,514.97
1616159829,18.49
1616159830,15.53
1616159831,19.19
1616159832,19.07
1616159833,21.46
1616159834,8.54
1616159835,13.86
1616159836,15.07
1616159837,13.58
1616159838,18.23
1616159839,13.01
1616159840,13.47
1616159843,511.02
1616159845,21.56
1616159846,17.74
1616159847,20.34
1616159848,7.66
1616159849,17.14
1616159850,21.93
1616159851,47.16
1616159852,15.33
1616159853,11.27
1616159854,16.57
1616159855,9.88
1616159856,12.07
1616159857,11.41
1616159858,11.53
1616159860,14.77
1616159861,12.23
1616159862,17.85
1616159863,14.96
1616159864,18.43
1616159865,14.12
1616159866,18.21
1616159867,14.85
1616159868,17.15
1616159869,11.04
1616159870,17.36
1616159871,14.09
1616159874,512.75
1616159877,513.24
1616159881,518.03
1616159882,20.88
1616159883,14.34
1616159884,20.49
1616159887,518.99
1616159888,20.31
1616159889,16.77
1616159890,16.6
1616159893,511.67
1616159894,21.12
1616159895,13.1
1616159896,13.88
1616159897,19.39
1616159902,1006.06
1616159904,36.62
1616159907,515.41
1616159908,20.2
1616159909,11.92
1616159912,513.5
1616159913,20.87
1616159914,8.91
1616159917,514.18
1616159918,14.32
1616159919,13.53
1616159922,508.73
1616159923,13.74
1616159924,12.35
1616159925,18.43
1616159929,519.57
1616159930,15.99
1616159931,21.93
1616159936,1008.23
1616159937,22.41
1616159938,23.03
1616159939,16.63
1616159942,514.36
1616159943,17.59
1616159944,12.79
