"timestamp","inputBitrate","demuxBitrate","demuxCorrupted","demuxDiscontinuity","sendBitrate","framesDisplayed","playedAudioBuffers","decodedVideo","decodedAudio","framesDisplayedAux","playedAudioBuffersAux","decodedVideoAux","decodedAudioAux","framesDisplayedCalc","playedAudioBuffersCalc","decodedVideoCalc","decodedAudioCalc"
1619114573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1619114574,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,9,1
1619114575,0,0,0,0,0,13,97,75,195,0,0,9,1,13,97,66,194
1619114576,0,0,0,0,0,33,145,115,291,13,97,75,195,20,48,40,96
1619114577,0,0,0,0,0,48,181,145,363,33,145,115,291,15,36,30,72
1619114578,0,0,0,0,0,68,229,185,459,48,181,145,363,20,48,40,96
1619114579,0,0,0,0,0,83,265,215,531,68,229,185,459,15,36,30,72
1619114580,0,0,0,0,0,103,313,255,627,83,265,215,531,20,48,40,96
1619114581,0,0,0,0,0,123,360,295,722,103,313,255,627,20,47,40,95
1619114582,0,0,0,0,0,138,395,325,792,123,360,295,722,15,35,30,70
1619114583,0,0,0,0,0,159,443,367,888,138,395,325,792,21,48,42,96
1619114584,0,0,0,0,0,173,479,395,960,159,443,367,888,14,36,28,72
1619114585,0,0,0,0,0,190,527,430,1056,173,479,395,960,17,48,35,96
1619114586,0,0,0,0,0,201,573,494,1148,190,527,430,1056,11,46,64,92
1619114587,0,0,0,0,0,233,619,558,1240,201,573,494,1148,32,46,64,92
1619114588,0,0,0,0,0,257,654,606,1310,233,619,558,1240,24,35,48,70
1619114589,0,0,0,0,0,289,700,670,1402,257,654,606,1310,32,46,64,92
1619114590,0,0,0,0,0,321,746,734,1494,289,700,670,1402,32,46,64,92
1619114591,0,0,0,0,0,353,792,798,1586,321,746,734,1494,32,46,64,92
1619114592,0,0,0,0,0,377,826,846,1654,353,792,798,1586,24,34,48,68
1619114593,0,0,0,0,0,408,872,908,1746,377,826,846,1654,31,46,62,92
1619114594,0,0,0,0,0,441,918,974,1838,408,872,908,1746,33,46,66,92
1619114595,0,0,0,0,0,473,964,1038,1930,441,918,974,1838,32,46,64,92
1619114596,0,0,0,0,0,497,998,1086,1998,473,964,1038,1930,24,34,48,68
1619114597,0,1,0,0,0,528,1044,1148,2090,497,998,1086,1998,31,46,62,92
1619114598,0,0,0,0,0,561,1090,1214,2182,528,1044,1148,2090,33,46,66,92
1619114599,0,0,0,0,0,593,1136,1278,2274,561,1090,1214,2182,32,46,64,92
