"timestamp","inputBitrate","demuxBitrate","demuxCorrupted","demuxDiscontinuity","sendBitrate","framesDisplayed","playedAudioBuffers","decodedVideo","decodedAudio","framesDisplayedAux","playedAudioBuffersAux","decodedVideoAux","decodedAudioAux","framesDisplayedCalc","playedAudioBuffersCalc","decodedVideoCalc","decodedAudioCalc"
1621256490,0,0,0,0,0,1163,2538,2493,5079,1138,2493,2443,4989,25,45,50,90
1621256491,0,0,0,0,0,1186,2582,2540,5167,1163,2538,2493,5079,23,44,47,88
1621256492,0,0,0,0,0,1190,2619,2564,5241,1186,2582,2540,5167,4,37,24,74
1621256493,0,0,0,0,0,1207,2666,2604,5335,1190,2619,2564,5241,17,47,40,94
1621256494,0,0,0,0,0,1222,2702,2634,5407,1207,2666,2604,5335,15,36,30,72
1621256495,0,0,0,0,0,1242,2750,2674,5503,1222,2702,2634,5407,20,48,40,96
1621256496,0,0,0,0,0,1262,2798,2714,5599,1242,2750,2674,5503,20,48,40,96
1621256497,0,0,0,0,0,1277,2834,2744,5671,1262,2798,2714,5599,15,36,30,72
1621256498,0,0,0,0,0,1297,2882,2784,5767,1277,2834,2744,5671,20,48,40,96
1621256499,0,0,0,0,0,1313,2918,2816,5839,1297,2882,2784,5767,16,36,32,72
1621256500,0,0,0,0,0,1332,2965,2854,5933,1313,2918,2816,5839,19,47,38,94
1621256501,0,0,0,0,0,1352,3013,2894,6029,1332,2965,2854,5933,20,48,40,96
1621256502,0,0,0,0,0,1367,3049,2924,6101,1352,3013,2894,6029,15,36,30,72
1621256503,0,0,0,0,0,1387,3097,2964,6197,1367,3049,2924,6101,20,48,40,96
1621256504,0,0,0,0,0,1393,3143,3009,6289,1387,3097,2964,6197,6,46,45,92
1621256505,0,0,0,0,0,1407,3180,3049,6363,1393,3143,3009,6289,14,37,40,74
1621256506,0,0,0,0,0,1433,3225,3101,6453,1407,3180,3049,6363,26,45,52,90
1621256507,0,0,0,0,0,1458,3274,3150,6551,1433,3225,3101,6453,25,49,49,98
1621256508,0,0,0,0,0,1460,3308,3176,6619,1458,3274,3150,6551,2,34,26,68
1621256509,0,0,0,0,0,1477,3355,3214,6713,1460,3308,3176,6619,17,47,38,94
1621256510,0,0,0,0,0,1492,3391,3244,6785,1477,3355,3214,6713,15,36,30,72
